type,id,name,parent_type,parent_id
space,90140783717,Growth | TWELVE LEGS,workspace,9014205398
folder,90141249640,TWELVE LEGS - Client Name,space,90140783717
list,901402157215,1). Onboarding,folder,90141249640
list,901402157214,2). Advertising,folder,90141249640
list,901402157212,3). SEO,folder,90141249640
list,901402157211,4). Website Build,folder,90141249640
list,901402217009,5). Client Support,folder,90141249640
space,90141222492,Delivery,workspace,9014205398
folder,90141883179,AAAPR - AAA Party Rentals,space,90141222492
list,901406646621,Website Maintenance / Website Technical Issues ,folder,90141883179
list,901406658894,Website Content Updates - https://aaapartyrent.com/,folder,90141883179
list,901403203263,Website Design,folder,90141883179
list,901403203947,Website Development,folder,90141883179
list,901403935022,Admin/Others,folder,90141883179
list,901406180129,Website Launch,folder,90141883179
list,901406646914,Service Level Agreement Quota,folder,90141883179
folder,90144764167,APLE - All Pro Lift and Equipment,space,90141222492
list,901409526194,Admin/Others,folder,90144764167
list,901409526219,Google Ads,folder,90144764167
folder,90142201419,AP360 - AdPro 360 (General),space,90141222492
list,901403712120,Admin/Others,folder,90142201419
folder,90149587656,AdPro 360: Luisa Graff Jewelers,space,90141222492
list,901416678854,New Client Setup,folder,90149587656
list,901416677977,Admin/Others,folder,90149587656
list,901416679112,Website Design,folder,90149587656
list,901416679121,WP From Scratch,folder,90149587656
folder,90142140827,AdPro 360: Phil Long Careers,space,90141222492
list,901403682519,Website Content Update,folder,90142140827
list,901403756584,Website Maintenance/ Website Technical Issues,folder,90142140827
folder,90141883186,AR - Alert Rental,space,90141222492
list,901406880266,AR - SEO Content Tracker,folder,90141883186
list,901403203998,Website Maintenance/ Website Technical Issues,folder,90141883186
list,901403888231,Website Content Update,folder,90141883186
list,901403203271,Google Ads (SEM),folder,90141883186
list,901403203969,Search Engine Optimization (SEO),folder,90141883186
list,901403203976,Display - Awareness,folder,90141883186
list,901403203981,Display - Retargeting,folder,90141883186
list,901403830684,Admin/Others,folder,90141883186
list,901404173573,Design,folder,90141883186
list,901404615985,Video,folder,90141883186
list,901407264155,Programmatic,folder,90141883186
list,901414254205,Knowledgebase Marketing ,folder,90141883186
folder,901410134362,AMC Landscaping,space,90141222492
list,901417361937,Admin/Others,folder,901410134362
folder,90144429992,Après Event Décor & Tent Rental,space,90141222492
list,901413283200,New Client Setup,folder,90144429992
list,901408442327,Admin/Others,folder,90144429992
list,901413296374,Website Design,folder,90144429992
list,901413507831,Volatile <> WP - Website Migration,folder,90144429992
list,901415057703,Website Pre-Launch Checklist,folder,90144429992
folder,90147642371,ARV - Arvada Rent-Alls,space,90141222492
list,901414252468,New Client Setup,folder,90147642371
list,901414248347,Admin/Others,folder,90147642371
list,901414252479,WP From Scratch,folder,90147642371
list,901414411462,Website Pre-Launch Checklist,folder,90147642371
list,901414970811,Website Launch/Publishing,folder,90147642371
list,901415054132,Website Maintenance/Technical Issue,folder,90147642371
list,901415054134,Website Content Update,folder,90147642371
folder,90144176082,AWA - 406 Golf Carts,space,90141222492
list,901407715261,Website Design,folder,90144176082
list,901407715270,WP From Scratch,folder,90144176082
list,901407715274,Website Pre-Launch Checklist,folder,90144176082
list,901407715284,Website Launch/Publishing,folder,90144176082
list,901409975799,Website Maintenance/Website Technical Issues,folder,90144176082
folder,90142182706,AWA_AR - Allen Rental,space,90141222492
list,901403685175,Website Maintenance/ Website Technical Issues,folder,90142182706
list,901403935029,Website Content Update,folder,90142182706
list,901403935031,Admin/Others,folder,90142182706
list,901406092530,Service Level Agreement Quota,folder,90142182706
folder,90147685320,AWA_BCR - Black Canyon Rentals,space,90141222492
list,901414322492,New Client Setup,folder,90147685320
list,901414322403,Admin/Others,folder,90147685320
list,901414419913,Website Design,folder,90147685320
list,901414325438,WP From Scratch,folder,90147685320
list,901415425328,Website Pre-Launch Checklist,folder,90147685320
list,901415426148,Website Launch/Publishing,folder,90147685320
list,901417456246,Website Maintenance/Technical Issue,folder,90147685320
list,901417456271,Website Content Update,folder,90147685320
folder,90147685321,AWA_VR - Viking Rentals,space,90141222492
list,901414322509,New Client Setup,folder,90147685321
list,901414322404,Admin/Others,folder,90147685321
list,901414423722,Website Design,folder,90147685321
list,901414325451,WP From Scratch,folder,90147685321
list,901415425911,Website Pre-Launch Checklist,folder,90147685321
list,901415427007,Website Launch/Publishing,folder,90147685321
list,901417456299,Website Maintenance/Technical Issue,folder,90147685321
list,901417456309,Website Content Update,folder,90147685321
folder,90142185250,AWA_HRA - Harvey's Rent All,space,90141222492
list,901403688956,Website Maintenance/ Website Technical Issues,folder,90142185250
list,901403935439,Admin/Others,folder,90142185250
folder,90142201554,AWA and Rover,space,90141222492
list,901406817398,AWA & Rover - SEO Content Tracker,folder,90142201554
list,901403712335,Admin/Others,folder,90142201554
folder,90141883196,CH - Campbell Homes,space,90141222492
list,901406873881,CH - SEO Content Tracker,folder,90141883196
list,901403203282,Website Design,folder,90141883196
list,901403215568,Website Development,folder,90141883196
list,901403216527,Search Engine Optimization (SEO),folder,90141883196
list,901403631485,Website Content Update,folder,90141883196
list,901404201947,Website Launch,folder,90141883196
list,901404005690,Website Maintenance/ Website Technical Issue,folder,90141883196
list,901403689071,Admin/Others,folder,90141883196
list,901406566487,SEM,folder,90141883196
list,901406870764,Digital Campaign,folder,90141883196
folder,901410261923,CRG - Carolina Rental Group,space,90141222492
list,901417516576,New Client Setup,folder,901410261923
list,901417516566,Admin/Others,folder,901410261923
list,901417516667,Design,folder,901410261923
list,901417516669,Logo Vectorization,folder,901410261923
list,901417517710,WP From Scratch,folder,901410261923
folder,901410063067,Colorado College,space,90141222492
list,901417272732,Admin/Others,folder,901410063067
folder,90147693685,Colorado Springs Chamber and EDC,space,90141222492
list,901414339788,Asmin/Others,folder,90147693685
folder,90142346651,COSA - Colorado Springs Airport,space,90141222492
list,901403934244,Animations,folder,90142346651
list,901403967914,Admin/Others,folder,90142346651
list,901404060127,Email Animation Test,folder,90142346651
list,901409357612,Hill Climb Update,folder,90142346651
folder,90146961623,COSH - COS Hauling,space,90141222492
list,901412650731,New Client Setup ,folder,90146961623
list,901412618882,Admin/Others,folder,90146961623
list,901412639625,Google Ads ,folder,90146961623
list,901413195764,Design/Development,folder,90146961623
folder,90142336654,COPPeR (Peak Radar),space,90141222492
list,901403919463,Admin/Others,folder,90142336654
list,901404182001,Arts Month Campaign,folder,90142336654
list,901404182751,Peak Radar,folder,90142336654
folder,901410792507,Custom 19 Woodworks,space,90141222492
list,901418182665,New Client Setup,folder,901410792507
list,901418158679,Admin/Others,folder,901410792507
